Trial,AUROC,w_entropy,w_ig,w_kl,w_cd,w_selfcheck,w_se
1,0.7508,0.0122,0.2671,0.2337,0.1532,0.2861,0.0476
2,0.75,0.3078,0.0681,0.2831,0.1322,0.1756,0.0331
3,0.7518,0.1515,0.3147,0.0497,0.4003,0.0807,0.0031
4,0.7025,0.153,0.4272,0.1018,0.031,0.0005,0.2864
5,0.7419,0.029,0.0382,0.3715,0.4593,0.0413,0.0608
6,0.7442,0.0906,0.4026,0.0012,0.2215,0.2074,0.0767
7,0.7402,0.0418,0.2894,0.0923,0.2414,0.213,0.122
8,0.7357,0.0363,0.269,0.5247,0.0724,0.0805,0.017
9,0.6791,0.1416,0.0821,0.0383,0.0198,0.5308,0.1874
10,0.7012,0.0217,0.1704,0.2021,0.2531,0.0531,0.2996
11,0.7122,0.017,0.2478,0.0688,0.0678,0.3862,0.2124
12,0.7491,0.222,0.0647,0.0123,0.6449,0.0465,0.0096
13,0.7452,0.0885,0.2988,0.0594,0.1514,0.3645,0.0374
14,0.7523,0.0117,0.2272,0.2285,0.2278,0.2696,0.0352
15,0.732,0.1733,0.0423,0.3736,0.2525,0.0059,0.1524
16,0.7503,0.3095,0.1376,0.4736,0.0673,0.0038,0.0082
17,0.6893,0.0041,0.0228,0.289,0.0319,0.2143,0.4379
18,0.7302,0.3906,0.0248,0.1009,0.2729,0.1386,0.0722
19,0.7144,0.0841,0.0444,0.0017,0.5439,0.0891,0.2368
20,0.7276,0.3561,0.2767,0.0357,0.0517,0.2024,0.0774
21,0.7548,0.2411,0.0112,0.437,0.1875,0.1187,0.0046
22,0.7409,0.0364,0.1184,0.1293,0.4244,0.1685,0.123
23,0.7276,0.2303,0.0479,0.2875,0.2176,0.0348,0.182
24,0.7507,0.0423,0.2528,0.1165,0.3617,0.1829,0.0438
25,0.7439,0.187,0.0488,0.5135,0.1441,0.0516,0.055
26,0.7479,0.1048,0.0643,0.1682,0.2839,0.335,0.0437
27,0.6987,0.0004,0.1714,0.3153,0.1741,0.0509,0.2878
28,0.6891,0.0262,0.1383,0.1288,0.0188,0.3393,0.3487
29,0.7047,0.0541,0.0127,0.119,0.4214,0.1037,0.2891
30,0.6939,0.0092,0.3791,0.1199,0.0782,0.0803,0.3332
31,0.7474,0.1303,0.2305,0.3924,0.0427,0.1537,0.0504
32,0.6886,0.1519,0.1385,0.0654,0.1064,0.0697,0.4681
33,0.7439,0.2489,0.0919,0.1367,0.3365,0.0893,0.0967
34,0.7349,0.2787,0.3127,0.137,0.067,0.068,0.1365
35,0.7427,0.0502,0.3292,0.0466,0.2459,0.2276,0.1004
36,0.7348,0.3405,0.3695,0.034,0.0031,0.2285,0.0243
37,0.686,0.0275,0.2835,0.0341,0.003,0.1914,0.4604
38,0.7492,0.02,0.2758,0.3202,0.0634,0.2758,0.0448
39,0.7534,0.0698,0.1144,0.3694,0.058,0.3626,0.026
40,0.7038,0.021,0.0697,0.04,0.1085,0.6999,0.0609
41,0.7453,0.1021,0.5257,0.0734,0.2003,0.0573,0.0413
42,0.7397,0.1214,0.5069,0.0102,0.1909,0.0663,0.1043
43,0.7058,0.137,0.1158,0.3222,0.1338,0.0265,0.2647
44,0.7371,0.1401,0.2105,0.1525,0.0083,0.4879,0.0006
45,0.6944,0.2341,0.1699,0.0786,0.1174,0.0794,0.3206
46,0.7446,0.3315,0.1669,0.2882,0.0247,0.1076,0.0811
47,0.7139,0.147,0.1694,0.2033,0.064,0.1883,0.228
48,0.7316,0.1082,0.0542,0.1509,0.3602,0.1616,0.1648
49,0.7464,0.0437,0.0504,0.1951,0.2434,0.4143,0.0531
50,0.7487,0.07,0.4108,0.0931,0.0622,0.3462,0.0177
